lookup_text,fbw_percent,fbs_percent,dbs_percent,edbs_percent,cc_percent,booking_percent,lookup_norm,category_name,subject_name,category_norm,subject_norm
Автоаксессуары и дополнительное оборудование Кронштейны запасного колеса для прицепа,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование кронштейны запасного колеса для прицепа,Автоаксессуары и дополнительное оборудование,Кронштейны запасного колеса для прицепа,автоаксессуары и дополнительное оборудование,кронштейны запасного колеса для прицепа
Автоаксессуары и дополнительное оборудование Системы регулирования скорости,26.0,29.5,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование системы регулирования скорости,Автоаксессуары и дополнительное оборудование,Системы регулирования скорости,автоаксессуары и дополнительное оборудование,системы регулирования скорости
Автоаксессуары и дополнительное оборудование Зарядные кабели автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование зарядные кабели автомобильные,Автоаксессуары и дополнительное оборудование,Зарядные кабели автомобильные,автоаксессуары и дополнительное оборудование,зарядные кабели автомобильные
Автоаксессуары и дополнительное оборудование Огнетушители автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование огнетушители автомобильные,Автоаксессуары и дополнительное оборудование,Огнетушители автомобильные,автоаксессуары и дополнительное оборудование,огнетушители автомобильные
Автоаксессуары и дополнительное оборудование Стяжные ремни,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование стяжные ремни,Автоаксессуары и дополнительное оборудование,Стяжные ремни,автоаксессуары и дополнительное оборудование,стяжные ремни
Автоаксессуары и дополнительное оборудование Эмблемы для авто,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование эмблемы для авто,Автоаксессуары и дополнительное оборудование,Эмблемы для авто,автоаксессуары и дополнительное оборудование,эмблемы для авто
Автоаксессуары и дополнительное оборудование Лебедки электрические переносные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование лебедки электрические переносные,Автоаксессуары и дополнительное оборудование,Лебедки электрические переносные,автоаксессуары и дополнительное оборудование,лебедки электрические переносные
Автоаксессуары и дополнительное оборудование Болты секретные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование болты секретные,Автоаксессуары и дополнительное оборудование,Болты секретные,автоаксессуары и дополнительное оборудование,болты секретные
Автоаксессуары и дополнительное оборудование Полуоси и ШРУС усиленные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование полуоси и шрус усиленные,Автоаксессуары и дополнительное оборудование,Полуоси и ШРУС усиленные,автоаксессуары и дополнительное оборудование,полуоси и шрус усиленные
Автоаксессуары и дополнительное оборудование Скобы автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование скобы автомобильные,Автоаксессуары и дополнительное оборудование,Скобы автомобильные,автоаксессуары и дополнительное оборудование,скобы автомобильные
Автоаксессуары и дополнительное оборудование Автоиконы,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование автоиконы,Автоаксессуары и дополнительное оборудование,Автоиконы,автоаксессуары и дополнительное оборудование,автоиконы
Автоаксессуары и дополнительное оборудование Опорные стойки для прицепов,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование опорные стойки для прицепов,Автоаксессуары и дополнительное оборудование,Опорные стойки для прицепов,автоаксессуары и дополнительное оборудование,опорные стойки для прицепов
Автоаксессуары и дополнительное оборудование Пороги силовые,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование пороги силовые,Автоаксессуары и дополнительное оборудование,Пороги силовые,автоаксессуары и дополнительное оборудование,пороги силовые
Автоаксессуары и дополнительное оборудование Боди-лифт,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование боди лифт,Автоаксессуары и дополнительное оборудование,Боди-лифт,автоаксессуары и дополнительное оборудование,боди лифт
Автоаксессуары и дополнительное оборудование Пленки тонировочные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование пленки тонировочные,Автоаксессуары и дополнительное оборудование,Пленки тонировочные,автоаксессуары и дополнительное оборудование,пленки тонировочные
Автоаксессуары и дополнительное оборудование Термозащита автомобильная,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование термозащита автомобильная,Автоаксессуары и дополнительное оборудование,Термозащита автомобильная,автоаксессуары и дополнительное оборудование,термозащита автомобильная
Автоаксессуары и дополнительное оборудование Губки для автомобиля,21.5,25.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование губки для автомобиля,Автоаксессуары и дополнительное оборудование,Губки для автомобиля,автоаксессуары и дополнительное оборудование,губки для автомобиля
Автоаксессуары и дополнительное оборудование Проушины буксирные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование проушины буксирные,Автоаксессуары и дополнительное оборудование,Проушины буксирные,автоаксессуары и дополнительное оборудование,проушины буксирные
Автоаксессуары и дополнительное оборудование Упоры противооткатные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование упоры противооткатные,Автоаксессуары и дополнительное оборудование,Упоры противооткатные,автоаксессуары и дополнительное оборудование,упоры противооткатные
Автоаксессуары и дополнительное оборудование Знаки для автомобиля,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование знаки для автомобиля,Автоаксессуары и дополнительное оборудование,Знаки для автомобиля,автоаксессуары и дополнительное оборудование,знаки для автомобиля
Автоаксессуары и дополнительное оборудование Стетоскопы механические,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование стетоскопы механические,Автоаксессуары и дополнительное оборудование,Стетоскопы механические,автоаксессуары и дополнительное оборудование,стетоскопы механические
Автоаксессуары и дополнительное оборудование Устройства для прокалывания отверстий в бампере,21.5,25.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование устройства для прокалывания отверстий в бампере,Автоаксессуары и дополнительное оборудование,Устройства для прокалывания отверстий в бампере,автоаксессуары и дополнительное оборудование,устройства для прокалывания отверстий в бампере
Автоаксессуары и дополнительное оборудование Шторки автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование шторки автомобильные,Автоаксессуары и дополнительное оборудование,Шторки автомобильные,автоаксессуары и дополнительное оборудование,шторки автомобильные
Автоаксессуары и дополнительное оборудование Манометры,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование манометры,Автоаксессуары и дополнительное оборудование,Манометры,автоаксессуары и дополнительное оборудование,манометры
Автоаксессуары и дополнительное оборудование Комплектующие распределителей зажигания,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование комплектующие распределителей зажигания,Автоаксессуары и дополнительное оборудование Комплектующие,распределителей зажигания,автоаксессуары и дополнительное оборудование комплектующие,распределителей зажигания
Автоаксессуары и дополнительное оборудование Ящики навесные для грузовиков,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование ящики навесные для грузовиков,Автоаксессуары и дополнительное оборудование,Ящики навесные для грузовиков,автоаксессуары и дополнительное оборудование,ящики навесные для грузовиков
Автоаксессуары и дополнительное оборудование Спойлеры,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование спойлеры,Автоаксессуары и дополнительное оборудование,Спойлеры,автоаксессуары и дополнительное оборудование,спойлеры
Автоаксессуары и дополнительное оборудование Накидки магнитные для авто,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование накидки магнитные для авто,Автоаксессуары и дополнительное оборудование,Накидки магнитные для авто,автоаксессуары и дополнительное оборудование,накидки магнитные для авто
Автоаксессуары и дополнительное оборудование Подстаканники электрические,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование подстаканники электрические,Автоаксессуары и дополнительное оборудование,Подстаканники электрические,автоаксессуары и дополнительное оборудование,подстаканники электрические
Автоаксессуары и дополнительное оборудование Пленки антидождь,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование пленки антидождь,Автоаксессуары и дополнительное оборудование,Пленки антидождь,автоаксессуары и дополнительное оборудование,пленки антидождь
Автоаксессуары и дополнительное оборудование Коврики автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование коврики автомобильные,Автоаксессуары и дополнительное оборудование,Коврики автомобильные,автоаксессуары и дополнительное оборудование,коврики автомобильные
Автоаксессуары и дополнительное оборудование Противоугонные системы,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование противоугонные системы,Автоаксессуары и дополнительное оборудование,Противоугонные системы,автоаксессуары и дополнительное оборудование,противоугонные системы
Автоаксессуары и дополнительное оборудование Багажники автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование багажники автомобильные,Автоаксессуары и дополнительное оборудование,Багажники автомобильные,автоаксессуары и дополнительное оборудование,багажники автомобильные
Автоаксессуары и дополнительное оборудование Дорожные знаки,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование дорожные знаки,Автоаксессуары и дополнительное оборудование,Дорожные знаки,автоаксессуары и дополнительное оборудование,дорожные знаки
Автоаксессуары и дополнительное оборудование Столики автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование столики автомобильные,Автоаксессуары и дополнительное оборудование,Столики автомобильные,автоаксессуары и дополнительное оборудование,столики автомобильные
Автоаксессуары и дополнительное оборудование Обогреватели автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование обогреватели автомобильные,Автоаксессуары и дополнительное оборудование,Обогреватели автомобильные,автоаксессуары и дополнительное оборудование,обогреватели автомобильные
Автоаксессуары и дополнительное оборудование Хабы колесные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование хабы колесные,Автоаксессуары и дополнительное оборудование,Хабы колесные,автоаксессуары и дополнительное оборудование,хабы колесные
Автоаксессуары и дополнительное оборудование Оплетки на руль,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование оплетки на руль,Автоаксессуары и дополнительное оборудование,Оплетки на руль,автоаксессуары и дополнительное оборудование,оплетки на руль
Автоаксессуары и дополнительное оборудование Линзы в фары,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование линзы в фары,Автоаксессуары и дополнительное оборудование,Линзы в фары,автоаксессуары и дополнительное оборудование,линзы в фары
Автоаксессуары и дополнительное оборудование Аксессуары для автокресел,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование аксессуары для автокресел,Автоаксессуары и дополнительное оборудование,Аксессуары для автокресел,автоаксессуары и дополнительное оборудование,аксессуары для автокресел
Автоаксессуары и дополнительное оборудование Искусственные дорожные неровности,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование искусственные дорожные неровности,Автоаксессуары и дополнительное оборудование,Искусственные дорожные неровности,автоаксессуары и дополнительное оборудование,искусственные дорожные неровности
Автоаксессуары и дополнительное оборудование Чехлы на автомобиль,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование чехлы на автомобиль,Автоаксессуары и дополнительное оборудование Чехлы,на автомобиль,автоаксессуары и дополнительное оборудование чехлы,на автомобиль
Автоаксессуары и дополнительное оборудование Наборы автомобильных инструментов,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование наборы автомобильных инструментов,Автоаксессуары и дополнительное оборудование,Наборы автомобильных инструментов,автоаксессуары и дополнительное оборудование,наборы автомобильных инструментов
Автоаксессуары и дополнительное оборудование Накладки на колесные арки,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование накладки на колесные арки,Автоаксессуары и дополнительное оборудование Накладки на,колесные арки,автоаксессуары и дополнительное оборудование накладки на,колесные арки
Автоаксессуары и дополнительное оборудование Системы помощи водителю,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование системы помощи водителю,Автоаксессуары и дополнительное оборудование,Системы помощи водителю,автоаксессуары и дополнительное оборудование,системы помощи водителю
Автоаксессуары и дополнительное оборудование Комплектующие усиленной подвески,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование комплектующие усиленной подвески,Автоаксессуары и дополнительное оборудование Комплектующие,усиленной подвески,автоаксессуары и дополнительное оборудование комплектующие,усиленной подвески
Автоаксессуары и дополнительное оборудование Ролики обрезиненные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование ролики обрезиненные,Автоаксессуары и дополнительное оборудование,Ролики обрезиненные,автоаксессуары и дополнительное оборудование,ролики обрезиненные
Автоаксессуары и дополнительное оборудование Распылители для химчистки,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование распылители для химчистки,Автоаксессуары и дополнительное оборудование,Распылители для химчистки,автоаксессуары и дополнительное оборудование,распылители для химчистки
Автоаксессуары и дополнительное оборудование Щетки автомобильные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование щетки автомобильные,Автоаксессуары и дополнительное оборудование,Щетки автомобильные,автоаксессуары и дополнительное оборудование,щетки автомобильные
Автоаксессуары и дополнительное оборудование Вибропоглощающий материал для авто,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование вибропоглощающий материал для авто,Автоаксессуары и дополнительное оборудование,Вибропоглощающий материал для авто,автоаксессуары и дополнительное оборудование,вибропоглощающий материал для авто
Автоаксессуары и дополнительное оборудование Расширители колеи,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование расширители колеи,Автоаксессуары и дополнительное оборудование,Расширители колеи,автоаксессуары и дополнительное оборудование,расширители колеи
Автоаксессуары и дополнительное оборудование Кронштейны для лебедок,26.0,29.5,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование кронштейны для лебедок,Автоаксессуары и дополнительное оборудование,Кронштейны для лебедок,автоаксессуары и дополнительное оборудование,кронштейны для лебедок
Автоаксессуары и дополнительное оборудование Багажные отсеки,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование багажные отсеки,Автоаксессуары и дополнительное оборудование,Багажные отсеки,автоаксессуары и дополнительное оборудование,багажные отсеки
Автоаксессуары и дополнительное оборудование Пружинные зажимные устройства,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование пружинные зажимные устройства,Автоаксессуары и дополнительное оборудование,Пружинные зажимные устройства,автоаксессуары и дополнительное оборудование,пружинные зажимные устройства
Автоаксессуары и дополнительное оборудование Комплекты электрики для фаркопов,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование комплекты электрики для фаркопов,Автоаксессуары и дополнительное оборудование,Комплекты электрики для фаркопов,автоаксессуары и дополнительное оборудование,комплекты электрики для фаркопов
Автоаксессуары и дополнительное оборудование Теплоизоляционный материал для авто,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование теплоизоляционный материал для авто,Автоаксессуары и дополнительное оборудование,Теплоизоляционный материал для авто,автоаксессуары и дополнительное оборудование,теплоизоляционный материал для авто
Автоаксессуары и дополнительное оборудование Наборы автомобилиста,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование наборы автомобилиста,Автоаксессуары и дополнительное оборудование,Наборы автомобилиста,автоаксессуары и дополнительное оборудование,наборы автомобилиста
Автоаксессуары и дополнительное оборудование Конусы дорожные,26.5,30.0,25.0,3.0,16.5,16.5,автоаксессуары и дополнительное оборудование конусы дорожные,Автоаксессуары и дополнительное оборудование,Конусы дорожные,автоаксессуары и дополнительное оборудование,конусы дорожные
